2017,Blu-ray,386
2000,DAT,5
1989,8-Track Cartridge,3
1981,U-matic,1
1988,4-Track Cartridge,1
1984,Vinyl,99912
1989,CDV,67
1908,Cylinder,39
1979,SelectaVision,1
2016,Cylinder,1
1982,Lathe Cut,1
1910,Pathé Disc,2
1988,Microcassette,1
1997,Cassette,21520
1997,CDr,1452
1953,Vinyl,6575
1979,Flexi-disc,454
2003,Lathe Cut,41
2007,DVD,7154
1982,Box Set,688
1992,DCC,152
2015,Memory Stick,247
1918,Edison Disc,45
-1,Shellac,20
2016,Microcassette,5
1908,Pathé Disc,5
1988,Floppy Disk,1
2004,CD,116147
1963,Vinyl,45584
1995,All Media,146
1945,Shellac,1892
2012,CDr,19801
1942,Acetate,6
1932,Vinyl,7
2004,Minidisc,3
0,CDV,49
0,Reel-To-Reel,1886
1987,CDV,94
1931,Flexi-disc,61
1920,Pathé Disc,16
1999,DAT,9
1965,Vinyl,56838
2015,All Media,2320
2016,Memory Stick,205
2011,Hybrid,21
1936,Vinyl,5
1927,Edison Disc,34
2005,12,1
1903,Acetate,1
1992,Vinyl,54264
1988,CD,31692
0,DVD,7082
1993,DCC,95
0,Acetate,3093
1967,Box Set,307
1976,Reel-To-Reel,64
1960,Acetate,18
1985,4-Track Cartridge,1
1985,Cassette,14246
1962,Vinyl,43454
1932,Shellac,1130
0,Lathe Cut,1903
1967,4-Track Cartridge,106
-1,CDr,30
1927,Cylinder,3
1959,RCA Tape Cartridge,5
2008,CD,108637
1988,CDV,245
1991,U-matic,37
1924,Edison Disc,114
2005,CDV,4
2000,Cassette,12772
2004,DVD,7144
1999,Acetate,286
1981,VHS,71
2017,File,96780
1960,Reel-To-Reel,134
2006,CDV,3
2012,Betacam SP,1
-1,VHS,3
1998,Cassette,18615
1989,Flexi-disc,195
1990,DAT,15
1955,Tefifon,9
0,Cylinder,641
1898,Shellac,34
2003,Floppy Disk,9
2000,Vinyl,46570
2009,CDr,23348
1968,Flexi-disc,343
1962,Acetate,52
-1,File,10
1978,Betamax,2
1985,Hybrid,1
1937,Acetate,4
1994,SACD,1
1895,Cylinder,6
1968,8-Track Cartridge,283
1925,Shellac,1109
1926,Edison Disc,90
2004,Floppy Disk,16
1983,Cassette,11791
1994,Acetate,304
1903,Shellac,60
2006,VHS,14
1983,Betacam,1
2009,Reel-To-Reel,6
1996,DCC,3
1939,Flexi-disc,1
1950,All Media,1
