1994,Heavy Metal,208
1984,Symphonic Rock,34
1986,New Beat,59
1988,Deep House,274
1997,Gabber,1129
1974,Pop Rock,111
1994,Grindcore,38
2006,DJ Battle Tool,33
1967,Ambient,6
1995,Southern Rock,8
2000,Indian Classical,11
0,Acoustic,1029
0,Acid House,2392
2009,Heavy Metal,212
2008,Downtempo,4839
2009,Psychedelic Rock,556
1979,Education,7
2009,Bossanova,33
0,Jazzy Hip-Hop,148
2012,Big Beat,231
2014,Comedy,56
1990,Gangsta,13
2010,Boom Bap,18
2015,Cloud Rap,52
2015,Harsh Noise Wall,542
2015,Euro-Disco,218
2018,Musique Concrète,732
1968,Psychedelic Rock,66
1998,Ska,64
2017,Therapy,32
2016,Gabber,448
1983,Rockabilly,32
2017,Juke,272
2018,Gothic Metal,13
1991,Arena Rock,77
1975,Lounge,33
2002,Ghetto House,6
2012,Electroclash,80
2016,Pop Punk,37
1999,Mambo,33
1982,Darkwave,46
2001,Brass Band,3
2013,Gothic Metal,33
2013,Cool Jazz,20
2014,Smooth Jazz,78
2000,Free Funk,15
1996,Pacific,4
1988,Comedy,29
1969,Symphonic Rock,2
2017,NDW,2
1981,Story,5
2008,Dream Pop,2
1996,Marches,1
1990,Nursery Rhymes,6
2016,Fado,1
2019,Sound Art,3
1986,Sound Poetry,6
2018,Appalachian Music,2
1995,Melodic Hardcore,1
1989,Rebetiko,2
2006,Sound Art,7
1976,Bossanova,3
1962,Dialogue,1
1974,Salsa,1
1986,Audiobook,2
2009,Kizomba,1
1987,Grunge,1
1986,Sermon,1
-1,Roots Reggae,1
2004,Crust,1
2013,Bollywood,1
1973,Dub,1
1995,Trance,5141
1989,Freestyle,962
1991,Ballad,624
1996,Acid Jazz,868
1994,Folk,100
1984,Industrial,680
1975,Chanson,57
1984,Musical,35
1984,Ballad,500
1982,Musical,34
1990,Vocal,517
2001,Bubblegum,15
2010,Afrobeat,72
2011,Hip Hop,1514
2011,UK Garage,745
1999,Lounge,77
2010,Interview,28
2012,Euro House,1483
1971,Blues Rock,12
2012,Power Electronics,1118
2002,Éntekhno,4
2013,Garage Rock,102
2015,Psy-Trance,2598
2016,Hard Techno,500
2000,Jazzdance,232
2002,Jazz-Rock,28
1991,Avant-garde Jazz,9
2017,Sound Collage,584
2012,Bossa Nova,21
1990,Lo-Fi,26
1988,Neofolk,46
1967,Musique Concrète,49
1981,Noise,92
1966,Modern Classical,16
2017,Story,12
2016,Neofolk,277
2018,Soul,267
1986,Free Jazz,26
2008,Nordic,7
2012,Dancehall,129
1987,Novelty,46
2003,Aboriginal,13
1981,Latin Jazz,15
1984,Coldwave,10
2014,Serial,2
1999,Bolero,7
1988,Avant-garde Jazz,13
2005,Funeral Doom Metal,4
1997,Bachata,1
1984,Mambo,2
1985,Oi,1
1988,Dark Ambient,49
1995,No Wave,6
1965,Modern Classical,6
1990,Death Metal,4
1981,Country Rock,15
1993,Audiobook,2
2011,Gamelan,8
2016,Funk Metal,10
1973,Cumbia,2
2019,Techno,38
2018,Nueva Cancion,1
0,Séga,5
1987,Free Jazz,14
1977,Indian Classical,6
1966,Folk,1
2002,Speed Metal,9
2013,Laïkó,5
1964,Minimal,2
1999,Military,4
1988,Ragtime,3
0,Rebetiko,4
1991,Bassline,2
2019,Rhythmic Noise,3
1991,Chacarera,1
2014,Chicago Blues,1
1983,Monolog,3
1993,Modern Electric Blues,3
1954,Experimental,1
2012,Educational,4
1998,Canzone Napoletana,1
1994,Bubblegum,2
1966,Future Jazz,1
1980,Interview,1
1993,Sephardic,1
2002,Son,1
1983,Experimental,1608
1994,Noise,724
1995,Deep House,1490
1990,Freestyle,835
1981,Italo-Disco,308
2003,Soundtrack,459
1989,P.Funk,23
2001,Illbient,108
